0.125	7.016
14.432	18.217
26.768	0.418
31.098	5.917
33.503	18.247
37.873	18.682
48.715	0.210
52.652	0.340
61.991	20.243
70.341	17.280
72.708	20.025
82.044	0.290
90.873	0.289
94.325	0.270
97.655	0.394
100.689	0.245
103.027	19.812
105.431	22.843
107.288	0.256
112.159	0.245
119.990	0.258
121.938	0.298
125.305	15.600
128.144	0.248
138.981	8.985
140.811	0.240
146.160	2.286
148.992	10.287
155.337	0.236
162.179	3.284
173.568	1.582
175.416	4.367
177.830	2.194
179.683	10.936
191.023	0.401
203.861	1.728
205.689	0.344
208.521	0.788
215.411	3.213
224.842	3.196
227.187	0.322
241.165	11.277
257.999	8.614
272.327	0.440
274.150	2.966
279.476	0.338
290.880	6.624
296.224	0.766
303.884	19.413
309.284	18.510
312.722	0.221
320.560	4.214
325.243	5.919
331.103	0.268
335.944	0.375
341.771	8.572
349.101	0.942
354.460	0.295
363.803	19.859
376.143	13.683
380.981	1.738
385.365	3.865
387.201	10.963
389.133	16.566
391.965	0.745
394.314	13.674
396.139	20.227
399.066	0.385
403.984	0.294
409.419	0.912
416.851	0.241
419.188	1.711
421.013	0.290
422.903	4.618
426.242	0.299
428.569	15.722
432.977	0.122
437.311	8.147
441.694	4.709
449.571	0.726
455.409	0.238
458.740	0.763
462.573	12.037
464.901	6.644
469.749	0.661
474.634	0.286
481.480	0.260
483.335	0.786
488.690	0.410
492.140	0.291
493.976	0.589
495.938	18.116
498.780	12.777
501.706	12.523
507.039	3.027
511.091	0.432
526.661	0.568
528.511	0.238
530.402	0.779
532.245	17.630
537.580	2.430
543.438	13.194
550.279	0.585
556.645	0.916
560.064	1.962
561.961	0.325
565.295	0.454
579.211	18.572
585.040	5.630
587.866	10.036
592.202	23.758
599.034	3.250
609.467	17.931
619.577	8.188
625.524	0.275
627.353	0.250
633.204	3.835
644.170	0.319
646.030	0.430
647.868	0.773
652.779	1.243
655.605	3.791
658.946	7.100
663.771	0.573
669.700	0.458
672.540	0.095
681.929	14.104
685.303	0.623
688.634	0.477
694.618	1.542
706.555	0.849
709.403	0.251
721.301	4.134
725.124	1.403
729.965	6.891
733.801	20.815
748.149	13.463
754.983	10.628
759.839	21.270
768.267	1.484
773.717	1.063
776.064	23.944
780.416	13.568
783.251	6.846
785.305	0.489
788.576	1.210
794.239	17.546
796.164	0.302
799.626	16.653
801.466	3.863
805.296	3.082
815.135	3.033
818.967	18.734
823.294	0.250
825.197	0.342
844.123	4.460
