0.112	0.240	0.623
4.857	0.060	4.109
9.535	0.420	13.481
13.267	0.060	10.400
31.441	0.120	0.391
41.618	0.280	0.273
48.634	0.120	2.096
85.542	0.240	4.125
99.367	0.060	0.362
102.243	0.140	0.334
104.458	0.180	3.938
124.312	0.140	0.289
138.560	0.340	1.292
155.994	0.160	2.307
164.765	0.180	4.170
179.004	0.560	0.326
181.187	0.180	17.028
185.199	0.080	0.279
198.270	0.120	0.750
213.818	0.080	3.110
219.887	0.240	0.284
238.199	0.120	0.265
245.125	0.100	0.422
248.930	2.160	2.927
259.815	0.200	0.530
274.597	0.160	0.727
281.315	0.120	2.280
285.813	0.220	0.700
292.105	0.240	2.228
296.922	0.120	0.444
303.614	0.200	0.448
314.831	0.160	0.284
319.010	1.260	2.842
325.397	0.200	3.494
343.499	0.120	1.974
349.579	0.140	0.100
364.648	0.100	0.548
380.270	0.160	0.525
383.951	0.120	0.406
387.203	0.100	1.170
398.654	0.600	3.009
400.844	0.280	0.418
403.817	0.140	0.444
413.090	0.460	0.869
422.542	0.260	0.698
426.320	0.060	9.603
429.021	0.200	0.351
433.738	0.120	0.245
436.951	0.320	0.318
449.505	1.360	1.996
453.366	0.120	0.364
457.164	0.080	0.820
483.536	0.340	3.486
493.945	0.220	1.274
497.856	0.080	15.871
501.283	0.140	1.576
504.091	0.160	0.356
507.837	0.200	0.248
511.612	0.440	5.584
523.614	0.100	5.474
527.397	0.360	0.640
531.573	0.080	0.208
535.361	0.320	0.391
556.091	0.080	2.922
570.314	0.160	7.272
573.992	0.120	0.984
580.176	0.100	0.256
590.133	0.080	5.369
607.399	0.240	3.960
612.061	0.200	0.240
623.711	0.380	0.741
627.519	0.120	2.078
630.996	0.200	0.302
637.932	0.080	15.940
654.311	0.300	0.588
657.545	0.640	1.317
663.570	0.140	0.389
667.259	0.100	0.301
675.948	0.140	9.738
681.878	0.840	3.505
689.793	0.260	0.378
692.155	0.160	7.888
695.419	0.060	12.631
705.610	0.100	8.940
716.501	0.100	0.264
721.353	0.120	2.649
737.527	0.300	0.126
741.947	0.260	0.276
748.803	0.100	0.673
754.025	0.100	5.636
760.296	0.080	0.063
764.069	0.240	0.272
777.372	0.820	8.294
784.896	0.400	0.253
802.200	0.120	1.262
805.982	0.100	0.260
827.166	0.160	0.259
845.801	0.980	1.135
852.690	0.160	0.654
861.842	0.240	2.492
867.287	0.120	0.226
869.962	0.160	0.456
874.276	0.700	1.146
881.212	1.280	2.705
883.918	0.160	0.277
893.105	0.060	1.643
901.023	0.080	5.792
